,0,1,2,3,4,5,6,7
Top_1,knrl,pdm3,Ae2,Dyrk2,CG8668,CG4572,hwt,Cpr49Ag
Top_2,fz2,dpp,Idh,bi,CG11089,Cth,EMC7,bru2
Top_3,grn,tinc,zormin,RpL13A,CHKov1,mt:ATPase8,CG12945,trh
Top_4,tkv,rdo,CG33144,uex,rig,oys,CG34376,ct
Top_5,Cht10,CG9674,CG42340,caps,hh,CG5674,Prosbeta6,qkr58E-2
Top_6,pigs,bi,CG13300,SNF4Agamma,capt,Jwa,E(spl)m7-HLH,serp
Top_7,heph,Tet,AnxB9,CG10939,sti,E(spl)malpha-BFM,CG33939,grnd
Top_8,Ten-a,cv-2,rut,G9a,asp,Polr2B,swm,babos
Top_9,mab-21,CG11360,CenG1A,pdm3,Rpn8,bnb,Cadps,Oatp30B
Top_10,drl,kek1,nub,Hrb98DE,myd,CG15083,Pop2,Mmp1
Top_11,ara,Cirl,Dad,promL,sle,schlank,otk2,ftz-f1
Top_12,ec,rst,CG6959,kek1,mt:ND1,Pak,CG13551,CG34347
Top_13,Antp,hbs,Pgant9,MESK2,mahe,CG8079,pths,dar1
Top_14,olf413,Dscam1,nmo,hid,CG9304,HIPP1,E(spl)m4-BFM,CG9095
Top_15,MESR3,jigr1,corn,Cpsf6,ATPsynG,hang,CCT3,cher
Top_16,opa,sty,Bx,corto,RpS20,brm,Dd,vib
Top_17,tsh,CG33229,CG42747,Abl,eIF4E1,Nup98-96,OstDelta,mamo
Top_18,CG4455,Hs6st,ab,zfh2,dre4,SppL,CG43051,cv-c
Top_19,Moe,pyd,CG32369,Cad87A,Usp47,Ziz,Syb,dnc
Top_20,RpL23,corto,CG4928,ap,Hmu,flfl,CG44838,haf
