,0,1,2,3,4,5,6,7,8,9,10,11
Top_1,bi,Gp93,CG9932,hdc,psq,opa,Dr,mei-P26,sgg,grn,Sp1,jumu
Top_2,fz,LanA,ab,RpL11,mfas,Oatp74D,CG42747,Hsp27,aop,side-V,disco-r,Eip75B
Top_3,SKIP,Cht10,RpS6,CG5151,mgl,bnb,robo2,Syp,RapGAP1,PAN3,Haspin,br
Top_4,Dad,Gp150,mab-21,shn,RpL8,fz,bark,RpS14a,CG42674,18w,olf413,gukh
Top_5,CG5151,pAbp,RpS2,Gyf,14-3-3epsilon,Tlk,zfh2,kek5,stx,RpL7A,zormin,unc-13
Top_6,mnb,PlexB,fru,Antp,RpS8,Antp,stx,Mur2B,br,fz2,ftz-f1,heph
Top_7,hts,Hsc70-3,14-3-3zeta,Tis11,Hipk,SKIP,fz,ttk,His3.3B,olf413,osp,Fur1
Top_8,ec,ERp60,CG6959,heph,nkd,Btk,RhoGAP19D,trx,pum,tkv,CG14830,mt:CoIII
Top_9,Pits,rin,dally,fru,eEF1beta,FER,dally,ckn,Oda,zfh2,RpL19,RpS28b
Top_10,Antp,CG9689,hth,spdi,betaTub56D,LRP1,SKIP,mirr,Mur2B,Inx2,Vap33,tou
Top_11,Pde9,Hrb27C,mbl,CG6770,Wnk,fs(1)h,RpS12,tna,mtgo,Tollo,ci,Shrm
Top_12,rdx,peg,Myc,Akap200,CG4914,rols,Syp,E(bx),ovo,upSET,RpS17,RpS30
Top_13,CG45049,stg,hdc,B4,Fili,hdc,ogre,klar,shn,hth,E(Pc),Eip63E
Top_14,zfh2,CG2852,Sumo,CoRest,CG43658,Hsp70Ab,CG13300,Dad,par-1,CG42748,Zdhhc8,rdx
Top_15,Dr,Cpr49Ah,mt:CoI,CG6891,pds5,kuz,ds,Hsc70-3,pyd,CG42747,PlexA,crol
Top_16,hdc,Vha16-1,RpL19,Unr,LanB1,CG5151,hth,RpL41,trx,tou,RpL37A,CG42673
Top_17,Dbp80,RpL27A,kay,Hsp83,CG4281,bun,mt:CoIII,par-1,CG34417,Cse1,Mi-2,tai
Top_18,gro,Inx2,ex,zfh2,CG3777,stv,pum,rin,Ten-a,bark,pdm3,RpL18
Top_19,norpA,Lsd-2,Sin3A,SP1173,CG17834,Snoo,RpL24,CG30440,Dbp80,SKIP,mub,hth
Top_20,RpLP2,kug,mask,Nrg,how,CG2865,psq,RpS26,lola,RpL14,psq,CG7720
